2026-01-16 12:05:12,103 | INFO | login | 1104-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\1104-Temu全托管_cookies.json
2026-01-16 12:05:12,104 | INFO | login | 1104-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:05:12,104 | INFO | login | 1104-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:05:17,969 | INFO | login | 1102-Temu全托管 - 第 1 次登录尝试
2026-01-16 12:05:21,395 | INFO | login | 1102-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'jelnoidfmcaagnefijmbgjihdibffamo', 'browserID': 100123686, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '52823', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托1102店', 'duplicate': 3022, 'ip': '125.94.230.83', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 100123686, 'containerCode': '1009236863', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 12:05:21,396 | INFO | login | 1102-Temu全托管 - 浏览器启动成功, 调试端口: 52823
2026-01-16 12:05:22,752 | INFO | login | 1102-Temu全托管 - 已连接浏览器
2026-01-16 12:05:23,094 | INFO | login | --------------------1102-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:05:27,501 | INFO | login | 1102-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-16 12:05:34,232 | INFO | login | 1102-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\1102-Temu全托管_cookies.json
2026-01-16 12:05:34,233 | INFO | login | 1102-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:05:34,233 | INFO | login | 1102-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:05:39,806 | INFO | login | 1103-Temu全托管 - 第 1 次登录尝试
2026-01-16 12:05:42,754 | INFO | login | 1103-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'jpdodpkjmnaoinfefchdgfomfncffgoc', 'browserID': 100261119, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '53088', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托1103店-子账号', 'duplicate': 2685, 'ip': '218.78.129.68', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 100261119, 'containerCode': '1010611195', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 12:05:42,754 | INFO | login | 1103-Temu全托管 - 浏览器启动成功, 调试端口: 53088
2026-01-16 12:05:44,109 | INFO | login | 1103-Temu全托管 - 已连接浏览器
2026-01-16 12:05:44,460 | INFO | login | --------------------1103-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:05:49,095 | INFO | login | 1103-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-16 12:05:55,421 | INFO | login | 1103-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\1103-Temu全托管_cookies.json
2026-01-16 12:05:55,422 | INFO | login | 1103-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:05:55,422 | INFO | login | 1103-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:06:02,058 | INFO | login | 1101-Temu全托管 - 第 1 次登录尝试
