  - waiting for locator("#app > div > main > div.right > div > div:nth-child(3) > div.arco-card-body > div > div:nth-child(2) > div.arco-space.arco-space-horizontal.arco-space-align-center.btn-wrap > div:nth-child(6) > button")

2026-04-29 10:38:09,100 | INFO | auto_listing | 外层采集页面已关闭 - 601100367932913
2026-04-29 10:38:09,145 | INFO | auto_listing | 进度: 31/50 - 正在处理商品: 601100628590544
2026-04-29 10:38:09,145 | INFO | auto_listing | 商品 601100628590544 第 1/2 次采集尝试
2026-04-29 10:38:10,078 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100622541086
2026-04-29 10:38:10,078 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100622541086
2026-04-29 10:38:11,969 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100628590544
2026-04-29 10:38:12,052 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100628590544
2026-04-29 10:38:14,079 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100628590544
2026-04-29 10:38:15,088 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100622541086
2026-04-29 10:38:15,675 | INFO | auto_listing | ✅ 上架成功: 601100628590544
2026-04-29 10:38:15,701 | INFO | auto_listing | 采集箱新页面已关闭 - 601100628590544
2026-04-29 10:38:15,724 | INFO | auto_listing | 外层采集页面已关闭 - 601100628590544
2026-04-29 10:38:15,757 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:38:15,791 | INFO | auto_listing | 进度: 32/50 - 正在处理商品: 601100634865430
2026-04-29 10:38:15,791 | INFO | auto_listing | 商品 601100634865430 第 1/2 次采集尝试
2026-04-29 10:38:16,698 | INFO | auto_listing | ✅ 上架成功: 601100622541086
2026-04-29 10:38:16,712 | INFO | auto_listing | 外层采集页面已关闭 - 601100622541086
2026-04-29 10:38:16,750 | INFO | auto_listing | 进度: 33/50 - 正在处理商品: 601100640015088
2026-04-29 10:38:16,750 | INFO | auto_listing | 商品 601100640015088 第 1/2 次采集尝试
2026-04-29 10:38:18,620 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100634865430
2026-04-29 10:38:18,661 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100634865430
2026-04-29 10:38:19,486 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100640015088
2026-04-29 10:38:19,486 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100640015088
2026-04-29 10:38:20,966 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100640015088
2026-04-29 10:38:20,966 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100634865430
2026-04-29 10:38:22,591 | INFO | auto_listing | ✅ 上架成功: 601100640015088
2026-04-29 10:38:22,686 | INFO | auto_listing | ✅ 上架成功: 601100634865430
2026-04-29 10:38:22,688 | INFO | auto_listing | 采集箱新页面已关闭 - 601100640015088
2026-04-29 10:38:22,691 | INFO | auto_listing | 采集箱新页面已关闭 - 601100634865430
2026-04-29 10:38:22,704 | INFO | auto_listing | 外层采集页面已关闭 - 601100640015088
2026-04-29 10:38:22,709 | INFO | auto_listing | 外层采集页面已关闭 - 601100634865430
2026-04-29 10:38:22,725 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:38:22,727 | INFO | auto_listing | 关闭采集后残留页面
